类别：所有类别

区域,Tianjin: (2023/2/8 - 2024/2/8),Hangzhou: (2023/2/8 - 2024/2/8)
District of Columbia,33%,67%
California,39%,61%
Washington,42%,58%
Virginia,43%,57%
Massachusetts,40%,60%
New York,39%,61%
Wyoming,100%,
Hawaii,45%,55%
Maryland,50%,50%
New Jersey,40%,60%
Connecticut,51%,49%
Iowa,63%,37%
Utah,54%,46%
Illinois,40%,60%
Oregon,44%,56%
Pennsylvania,49%,51%
Delaware,48%,52%
Texas,43%,57%
Minnesota,44%,56%
Kansas,61%,39%
Georgia,43%,57%
Colorado,48%,52%
Ohio,47%,53%
Indiana,52%,48%
Nebraska,48%,52%
Arizona,40%,60%
Michigan,40%,60%
Wisconsin,43%,57%
New Hampshire,46%,54%
Nevada,34%,66%
West Virginia,65%,35%
Missouri,43%,57%
Florida,43%,57%
North Carolina,38%,62%
North Dakota,,
Alabama,52%,48%
Alaska,,
New Mexico,80%,20%
South Dakota,100%,
South Carolina,49%,51%
Rhode Island,47%,53%
Louisiana,45%,55%
Arkansas,40%,60%
Tennessee,39%,61%
Kentucky,44%,56%
Vermont,,
Maine,26%,74%
Oklahoma,33%,67%
Mississippi,26%,74%
Idaho,13%,87%
Montana,,100%
